Tanggal,Prov,Provinsi,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
1/13/2021,Yogyakarta,Yogyakarta,0,0
1/14/2021,Yogyakarta,Yogyakarta,0.003,0.003
1/15/2021,Yogyakarta,Yogyakarta,0.003,0
1/16/2021,Yogyakarta,Yogyakarta,0.004,0.001
1/18/2021,Yogyakarta,Yogyakarta,0.005,0.001
1/19/2021,Yogyakarta,Yogyakarta,0.006,0.001
1/20/2021,Yogyakarta,Yogyakarta,0.009,0.003
1/21/2021,Yogyakarta,Yogyakarta,0.009,0
1/22/2021,Yogyakarta,Yogyakarta,0.01,0.001
1/23/2021,Yogyakarta,Yogyakarta,0.01,0
1/24/2021,Yogyakarta,Yogyakarta,0.01,0
1/25/2021,Yogyakarta,Yogyakarta,0.011,0.001
1/26/2021,Yogyakarta,Yogyakarta,0.012,0.001
1/27/2021,Yogyakarta,Yogyakarta,0.013,0.001
1/28/2021,Yogyakarta,Yogyakarta,0.727,0.714
1/29/2021,Yogyakarta,Yogyakarta,1.028,0.301
1/30/2021,Yogyakarta,Yogyakarta,1.326,0.298
1/31/2021,Yogyakarta,Yogyakarta,1.326,0
2/1/2021,Yogyakarta,Yogyakarta,2.891,1.565
2/2/2021,Yogyakarta,Yogyakarta,4.284,1.393
2/3/2021,Yogyakarta,Yogyakarta,5.508,1.224
2/4/2021,Yogyakarta,Yogyakarta,6.711,1.203
2/5/2021,Yogyakarta,Yogyakarta,7.232,0.521
2/6/2021,Yogyakarta,Yogyakarta,7.841,0.609
2/7/2021,Yogyakarta,Yogyakarta,8.02,0.179
2/8/2021,Yogyakarta,Yogyakarta,9.394,1.374
2/9/2021,Yogyakarta,Yogyakarta,10.746,1.352
2/10/2021,Yogyakarta,Yogyakarta,12.389,1.643
2/11/2021,Yogyakarta,Yogyakarta,16.077,3.688
2/12/2021,Yogyakarta,Yogyakarta,16.092,0.015
2/13/2021,Yogyakarta,Yogyakarta,16.896,0.804
2/14/2021,Yogyakarta,Yogyakarta,16.898,0.002
2/15/2021,Yogyakarta,Yogyakarta,18.889,1.991
2/16/2021,Yogyakarta,Yogyakarta,21.563,2.674
2/17/2021,Yogyakarta,Yogyakarta,23.878,2.315
2/18/2021,Yogyakarta,Yogyakarta,26.074,2.196
2/19/2021,Yogyakarta,Yogyakarta,27.389,1.315
2/20/2021,Yogyakarta,Yogyakarta,28.444,1.055
2/21/2021,Yogyakarta,Yogyakarta,28.471,0.027
2/22/2021,Yogyakarta,Yogyakarta,29.323,0.852
2/23/2021,Yogyakarta,Yogyakarta,29.791,0.468
2/24/2021,Yogyakarta,Yogyakarta,30.211,0.42
2/25/2021,Yogyakarta,Yogyakarta,30.89,0.679
2/26/2021,Yogyakarta,Yogyakarta,30.934,0.044
2/27/2021,Yogyakarta,Yogyakarta,31.361,0.427
2/28/2021,Yogyakarta,Yogyakarta,31.363,0.002
3/1/2021,Yogyakarta,Yogyakarta,31.523,0.16
3/2/2021,Yogyakarta,Yogyakarta,31.728,0.205
3/3/2021,Yogyakarta,Yogyakarta,31.91,0.182
3/4/2021,Yogyakarta,Yogyakarta,32.193,0.283
3/5/2021,Yogyakarta,Yogyakarta,32.349,0.156
3/6/2021,Yogyakarta,Yogyakarta,33.057,0.708
3/7/2021,Yogyakarta,Yogyakarta,33.064,0.007
3/8/2021,Yogyakarta,Yogyakarta,33.529,0.465
3/9/2021,Yogyakarta,Yogyakarta,33.891,0.362
3/10/2021,Yogyakarta,Yogyakarta,34.079,0.188
3/11/2021,Yogyakarta,Yogyakarta,34.083,0.004
3/12/2021,Yogyakarta,Yogyakarta,34.276,0.193
3/13/2021,Yogyakarta,Yogyakarta,34.547,0.271
3/14/2021,Yogyakarta,Yogyakarta,34.551,0.004
3/15/2021,Yogyakarta,Yogyakarta,36.883,2.332
3/16/2021,Yogyakarta,Yogyakarta,40.283,3.4
3/17/2021,Yogyakarta,Yogyakarta,45.466,5.183
3/18/2021,Yogyakarta,Yogyakarta,53.042,7.576
3/19/2021,Yogyakarta,Yogyakarta,58.29,5.248
3/20/2021,Yogyakarta,Yogyakarta,63.587,5.297
3/21/2021,Yogyakarta,Yogyakarta,63.715,0.128
3/22/2021,Yogyakarta,Yogyakarta,67.757,4.042
3/23/2021,Yogyakarta,Yogyakarta,73.731,5.974
3/24/2021,Yogyakarta,Yogyakarta,81.111,7.38
3/25/2021,Yogyakarta,Yogyakarta,82.718,1.607
3/26/2021,Yogyakarta,Yogyakarta,85.651,2.933
3/27/2021,Yogyakarta,Yogyakarta,89.337,3.686
3/28/2021,Yogyakarta,Yogyakarta,89.48,0.143
3/29/2021,Yogyakarta,Yogyakarta,94.933,5.453
3/30/2021,Yogyakarta,Yogyakarta,101.551,6.618
3/31/2021,Yogyakarta,Yogyakarta,106.891,5.34
4/1/2021,Yogyakarta,Yogyakarta,113.522,6.631
4/2/2021,Yogyakarta,Yogyakarta,113.934,0.412
4/3/2021,Yogyakarta,Yogyakarta,118.625,4.691
4/4/2021,Yogyakarta,Yogyakarta,118.633,0.008
4/5/2021,Yogyakarta,Yogyakarta,123.777,5.144
4/6/2021,Yogyakarta,Yogyakarta,129.606,5.829
4/7/2021,Yogyakarta,Yogyakarta,135.491,5.885
4/8/2021,Yogyakarta,Yogyakarta,142.602,7.111
4/9/2021,Yogyakarta,Yogyakarta,147.153,4.551
4/10/2021,Yogyakarta,Yogyakarta,152.515,5.362
4/11/2021,Yogyakarta,Yogyakarta,152.635,0.12
4/12/2021,Yogyakarta,Yogyakarta,156.422,3.787
4/13/2021,Yogyakarta,Yogyakarta,159.458,3.036
4/14/2021,Yogyakarta,Yogyakarta,162.575,3.117
4/15/2021,Yogyakarta,Yogyakarta,165.946,3.371
4/16/2021,Yogyakarta,Yogyakarta,168.202,2.256
4/17/2021,Yogyakarta,Yogyakarta,170.428,2.226
4/18/2021,Yogyakarta,Yogyakarta,171.651,1.223
4/19/2021,Yogyakarta,Yogyakarta,175.012,3.361
4/20/2021,Yogyakarta,Yogyakarta,177.641,2.629
4/21/2021,Yogyakarta,Yogyakarta,180.565,2.924
4/22/2021,Yogyakarta,Yogyakarta,184.531,3.966
4/23/2021,Yogyakarta,Yogyakarta,186.854,2.323
4/24/2021,Yogyakarta,Yogyakarta,193.338,6.484
4/25/2021,Yogyakarta,Yogyakarta,195.243,1.905
4/26/2021,Yogyakarta,Yogyakarta,201.666,6.423
4/27/2021,Yogyakarta,Yogyakarta,207.889,6.223
4/28/2021,Yogyakarta,Yogyakarta,213.421,5.532
4/29/2021,Yogyakarta,Yogyakarta,219.222,5.801
4/30/2021,Yogyakarta,Yogyakarta,219.591,0.369
5/1/2021,Yogyakarta,Yogyakarta,219.807,0.216
5/2/2021,Yogyakarta,Yogyakarta,219.808,0.001
5/3/2021,Yogyakarta,Yogyakarta,225.001,5.193
5/4/2021,Yogyakarta,Yogyakarta,232.926,7.925
5/5/2021,Yogyakarta,Yogyakarta,240.485,7.559
5/6/2021,Yogyakarta,Yogyakarta,248.979,8.494
5/7/2021,Yogyakarta,Yogyakarta,254.793,5.814
