Tanggal,Provinsi,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
1/13/2021,Yogyakarta,0,0
1/14/2021,Yogyakarta,0.872,0.872
1/15/2021,Yogyakarta,1.164,0.292
1/16/2021,Yogyakarta,1.476,0.312
1/18/2021,Yogyakarta,3.358,1.882
1/19/2021,Yogyakarta,4.815,1.457
1/20/2021,Yogyakarta,6.109,1.294
1/21/2021,Yogyakarta,7.276,1.167
1/22/2021,Yogyakarta,7.837,0.561
1/23/2021,Yogyakarta,8.45,0.613
1/24/2021,Yogyakarta,8.659,0.209
1/25/2021,Yogyakarta,10.052,1.393
1/26/2021,Yogyakarta,11.493,1.441
1/27/2021,Yogyakarta,13.282,1.789
1/28/2021,Yogyakarta,17.135,3.853
1/29/2021,Yogyakarta,18.126,0.991
1/30/2021,Yogyakarta,18.776,0.65
1/31/2021,Yogyakarta,18.826,0.05
2/1/2021,Yogyakarta,20.909,2.083
2/2/2021,Yogyakarta,23.446,2.537
2/3/2021,Yogyakarta,25.848,2.402
2/4/2021,Yogyakarta,27.9,2.052
2/5/2021,Yogyakarta,29.235,1.335
2/6/2021,Yogyakarta,30.364,1.129
2/7/2021,Yogyakarta,30.404,0.04
2/8/2021,Yogyakarta,31.015,0.611
2/9/2021,Yogyakarta,31.436,0.421
2/10/2021,Yogyakarta,31.86,0.424
2/11/2021,Yogyakarta,32.508,0.648
2/12/2021,Yogyakarta,32.509,0.001
2/13/2021,Yogyakarta,32.992,0.483
2/14/2021,Yogyakarta,32.996,0.004
2/15/2021,Yogyakarta,33.223,0.227
2/16/2021,Yogyakarta,33.458,0.235
2/17/2021,Yogyakarta,33.639,0.181
2/18/2021,Yogyakarta,33.913,0.274
2/19/2021,Yogyakarta,34.058,0.145
2/20/2021,Yogyakarta,35.017,0.959
2/21/2021,Yogyakarta,35.017,0
2/22/2021,Yogyakarta,35.459,0.442
2/23/2021,Yogyakarta,35.664,0.205
2/24/2021,Yogyakarta,35.796,0.132
2/25/2021,Yogyakarta,35.928,0.132
2/26/2021,Yogyakarta,36.006,0.078
2/27/2021,Yogyakarta,36.289,0.283
2/28/2021,Yogyakarta,36.519,0.23
