Tanggal,Provinsi,Kasus Aktif
3/21/2020,Bali,2
3/22/2020,Bali,1
3/23/2020,Bali,4
3/24/2020,Bali,4
3/25/2020,Bali,7
3/26/2020,Bali,7
3/27/2020,Bali,7
3/28/2020,Bali,7
3/29/2020,Bali,8
3/30/2020,Bali,17
3/31/2020,Bali,17
4/1/2020,Bali,13
4/2/2020,Bali,13
4/3/2020,Bali,15
4/4/2020,Bali,20
4/5/2020,Bali,15
4/6/2020,Bali,23
4/7/2020,Bali,23
4/8/2020,Bali,29
4/9/2020,Bali,43
4/10/2020,Bali,54
4/11/2020,Bali,58
4/12/2020,Bali,60
4/13/2020,Bali,64
4/14/2020,Bali,69
4/15/2020,Bali,73
4/16/2020,Bali,79
4/17/2020,Bali,86
4/18/2020,Bali,92
4/19/2020,Bali,94
4/20/2020,Bali,95
4/21/2020,Bali,105
4/22/2020,Bali,101
4/23/2020,Bali,108
4/24/2020,Bali,118
4/25/2020,Bali,109
4/26/2020,Bali,107
4/27/2020,Bali,109
4/28/2020,Bali,123
4/29/2020,Bali,115
4/30/2020,Bali,105
5/1/2020,Bali,110
5/2/2020,Bali,104
5/3/2020,Bali,107
5/4/2020,Bali,108
5/5/2020,Bali,113
5/6/2020,Bali,107
5/7/2020,Bali,100
5/8/2020,Bali,101
5/9/2020,Bali,105
5/10/2020,Bali,103
5/11/2020,Bali,100
5/12/2020,Bali,109
5/13/2020,Bali,108
5/14/2020,Bali,110
5/15/2020,Bali,107
5/16/2020,Bali,99
5/17/2020,Bali,94
5/18/2020,Bali,98
5/19/2020,Bali,92
5/20/2020,Bali,91
5/21/2020,Bali,90
5/22/2020,Bali,92
5/23/2020,Bali,97
5/24/2020,Bali,97
5/25/2020,Bali,97
5/26/2020,Bali,108
5/27/2020,Bali,109
5/28/2020,Bali,102
5/29/2020,Bali,119
5/30/2020,Bali,123
5/31/2020,Bali,132
6/1/2020,Bali,143
6/2/2020,Bali,148
6/3/2020,Bali,136
6/4/2020,Bali,141
6/5/2020,Bali,150
6/6/2020,Bali,181
6/7/2020,Bali,204
6/8/2020,Bali,212
6/9/2020,Bali,194
6/10/2020,Bali,223
6/11/2020,Bali,230
